,SRC_obs,SubId,DrainArea,DA_error,Obs_NM,Use_region,DA_Obs,Region,Sub_Reg,DI,CheckArea,AreaError
192,US,1031982,2738186557.53,0.9992579273,07263115,0,2740.22,0001,00053,73.59796100289633,2738186557.533031,1.1068555461294045e-12
193,US,1091092,4689518090.62,1.00311620245,03584600,0,4674.95,0001,00039,2.66837858063408,4689518090.620673,1.43574255258667e-13
194,US,1092421,1108615259.2,1.00008593368,03567500,0,1108.52,0001,00039,0.0,1108615259.201468,1.3241232062669054e-12
195,US,1089319,34396273.1658,1.02157033459,03561000,0,33.67,0001,00039,0.0,34396273.165733,1.9477581307893667e-12
196,US,1090789,315421179.866,0.97427391465,03585269,0,323.75,0001,00039,0.0,315421179.86653703,1.702605543655688e-12
197,US,1030820,179840402.381,1.00486901297,07249080,0,178.969,0001,00053,0.0,179840402.38127,1.501215716467141e-12
198,US,1091337,902382719.069,1.00117906966,03588500,0,901.32,0001,00039,0.0,902382719.0691401,1.5522340162573255e-13
199,US,1093722,97851082.4056,1.00479629514,03546000,0,97.384,0001,00039,0.0,97851082.40560001,1.5228407113659956e-16
200,US,1111141,432677166.793,1.0063663925,07076850,0,429.94,0001,00063,0.0,432677166.793706,1.6317408718317514e-12
201,US,1091053,4632854730.39,1.00266087452,03584500,0,4620.56,0001,00039,2.7336666006521426,4632854730.388404,3.445933228149528e-13
202,US,1089204,705020030.666,1.00076656635,03554000,0,704.48,0001,00039,155.9873684208455,705020030.6655362,6.57915130728865e-13
203,US,1089019,492682200.969,1.00118309484,03547000,0,492.1,0001,00039,363.1638653171232,492682200.968886,2.3131357411817195e-13
204,US,1005607,535933825.006,0.98535360362,07030392,0,543.9,0001,00062,0.0,535933825.00617707,3.304240026755225e-13
205,US,1110998,3476429431.83,1.14722285973,07077555,0,3030.3,0001,00063,0.0,3476429431.831868,5.374042598806311e-13
206,US,1003715,25916439.9482,0.51579110672,07032224,0,50.246,0001,00062,0.0,25916439.9482,0.0
207,US,1089167,36865571.1136,0.98845911394,03562000,0,37.296,0001,00039,0.0,36865571.1136,0.0
208,US,1084237,29997714.1213,0.95720074416,07232010,0,31.339,0001,00002,0.0,29997714.1213,0.0
209,US,1089151,214987418.083,0.99887755871,03548330,0,215.229,0001,00039,0.0,214987418.08268997,1.442100949737905e-12
210,US,1084208,546188119.33,1.00420687503,07230800,0,543.9,0001,00002,0.0,546188119.329785,3.937353280650118e-13
211,US,1004461,173864203.065,0.98429671455,07032200,0,176.638,0001,00062,0.0,173864203.06487,7.476969264715558e-13
212,US,1004294,1317617446.34,1.01139682856,07030500,0,1302.77,0001,00062,0.0,1317617446.3411028,8.370596108813422e-13
213,US,1003964,2162798083.11,0.99767882312,07029400,0,2167.83,0001,00062,0.0,2162798083.1147666,2.2038415285371856e-12
214,US,1030432,1979004651.65,1.00012363887,07260500,0,1978.76,0001,00053,80.20453561673307,1979004651.648845,5.836964631608981e-13
215,US,1030520,3233034040.7,1.00667394467,07249000,0,3211.6,0001,00053,102.02512029402233,3233034040.698427,4.864189266047484e-13
216,US,1091701,49693900.3173,1.02057628188,03566420,0,48.692,0001,00039,0.0,49693900.3173,0.0
217,US,1005701,246079917.052,1.00223155048,07029380,0,245.532,0001,00062,0.0,246079917.05195,2.030986325210924e-13
218,US,1090325,84781042653.9,0.9973794425,03593005,0,85003.8,0001,00039,53.33168132470102,84781042653.93546,4.182706967407029e-13
219,US,1089631,38590571.1052,0.79254438317,0350056050,0,48.692,0001,00039,0.0,38590571.10518,5.181928577224127e-13
